curso,numero discentes
CURSO DE CIENCIAS BIOLOGICAS / ASEI,10
CURSO DE CIENCIAS BIOLOGICAS / ASEI,3
CURSO DE CIENCIAS BIOLOGICAS / ASEI,4
CURSO DE CIENCIAS BIOLOGICAS / ASEI,4
CURSO DE CIENCIAS EXATAS / ASEI,2
CURSO DE CIENCIAS EXATAS / ASEI,6
CURSO DE CIENCIAS EXATAS / ASEI,3
CURSO DE CIENCIAS EXATAS / ASEI,11
CURSO DE CIENCIAS EXATAS / ASEI,3
CURSO DE CIENCIAS EXATAS / ASEI,2
CURSO DE CIENCIAS EXATAS / ASEI,2
CURSO DE CIENCIAS EXATAS / ASEI,9
CURSO DE CIÊNCIAS SOCIAIS / ASEI,14
CURSO DE CIÊNCIAS SOCIAIS / ASEI,28
CURSO DE EDUCAÇÃO FÍSICA / ASEI,42
CURSO DE EDUCAÇÃO FÍSICA / ASEI,30
CURSO DE EDUCAÇÃO FÍSICA / ASEI,11
CURSO DE EDUCAÇÃO FÍSICA / ASEI,9
CURSO DE EDUCACAO FISICA / ASEI,40
CURSO DE EDUCACAO FISICA / ASEI,34
CURSO DE EDUCACAO FISICA / ASEI,34
CURSO DE EDUCACAO FISICA / ASEI,50
CURSO DE EDUCACAO FISICA / ASEI,3
CURSO DE EDUCAÇÃO FÍSICA / ASEI,21
CURSO DE EDUCAÇÃO FÍSICA / ASEI,20
CURSO DE EDUCAÇÃO FÍSICA / ASEI,4
CURSO DE EDUCAÇÃO FÍSICA / ASEI,41
CURSO DE EDUCACAO FISICA / ASEI,53
CURSO DE FILOSOFIA / ASEI,2
CURSO DE FILOSOFIA / ASEI,50
CURSO DE FILOSOFIA / ASEI,49
CURSO DE FILOSOFIA / ASEI,9
CURSO DE FILOSOFIA / ASEI,42
CURSO DE FÍSICA / ASEI,6
CURSO DE FÍSICA / ASEI,14
CURSO DE FÍSICA / ASEI,7
CURSO DE FÍSICA / ASEI,3
CURSO DE FÍSICA / ASEI,4
CURSO DE FÍSICA / ASEI,13
CURSO DE GEOGRAFIA / ASEI,50
CURSO DE GEOGRAFIA / ASEI,55
CURSO DE GEOGRAFIA / ASEI,40
CURSO DE GEOGRAFIA / ASEI,4
CURSO DE GEOGRAFIA / ASEI,1
CURSO DE GEOGRAFIA / ASEI,4
CURSO DE GEOGRAFIA / ASEI,6
CURSO DE GEOGRAFIA / ASEI,56
CURSO DE GEOGRAFIA / ASEI,3
CURSO DE HISTORIA / ASEI,46
CURSO DE HISTÓRIA / ASEI,47
CURSO DE HISTÓRIA / ASEI,36
CURSO DE HISTORIA / ASEI,8
CURSO DE HISTORIA / ASEI,2
CURSO DE HISTÓRIA / ASEI,5
CURSO DE HISTORIA / ASEI,5
CURSO DE HISTORIA / ASEI,3
CURSO DE HISTORIA / ASEI,6
CURSO DE HISTORIA / ASEI,4
CURSO DE LETRAS / ASEI,4
CURSO DE LETRAS / ASEI,19
CURSO DE LETRAS / ASEI,5
CURSO DE LETRAS / ASEI,8
CURSO DE LETRAS / ASEI,3
CURSO DE LETRAS / ASEI,1
CURSO DE LETRAS / ASEI,39
CURSO DE LETRAS / ASEI,2
CURSO DE LETRAS / ASEI,5
CURSO DE LETRAS / ASEI,1
CURSO DE LETRAS / ASEI,2
CURSO DE LETRAS / ASEI,5
CURSO DE LETRAS / ASEI,1
CURSO DE LETRAS / ESPANHOL / ASEI,34
CURSO DE LETRAS / ESPANHOL / ASEI,5
CURSO DE LETRAS / ESPANHOL / ASEI,9
CURSO DE LETRAS / ESPANHOL / ASEI,102
CURSO DE LETRAS / ESPANHOL / ASEI,28
CURSO DE LETRAS - INGLÊS / ASEI,46
CURSO DE LETRAS - INGLÊS / ASEI,50
CURSO DE LETRAS / INGLÊS / ASEI,40
CURSO DE LETRAS / INGLÊS / ASEI,34
CURSO DE LETRAS / INGLÊS / ASEI,29
CURSO DE LETRAS / INGLÊS / ASEI,33
CURSO DE LETRAS / INGLÊS / ASEI,21
CURSO DE LETRAS - PORTUGUÊS / ASEI,26
CURSO DE LETRAS / PORTUGUÊS / ASEI,19
CURSO DE MATEMATICA / ASEI,21
CURSO DE MATEMATICA / ASEI,22
CURSO DE MATEMATICA / ASEI,5
CURSO DE MATEMATICA / ASEI,11
CURSO DE MATEMÁTICA / ASEI,6
CURSO DE MATEMÁTICA / ASEI,37
CURSO DE MATEMÁTICA / ASEI,3
CURSO DE MATEMÁTICA / ASEI,52
CURSO DE MATEMÁTICA / ASEI,21
CURSO DE MATEMATICA / ASEI,56
CURSO DE MATEMATICA / ASEI,7
CURSO DE MATEMÁTICA / ASEI,1
CURSO DE MATEMÁTICA / ASEI,55
CURSO DE PEDAGOGIA / ASEI,3
CURSO DE PEDAGOGIA / ASEI,1
CURSO DE PEDAGOGIA / ASEI,5
CURSO DE PEDAGOGIA / ASEI,110
CURSO DE PEDAGOGIA / ASEI,101
CURSO DE PEDAGOGIA / ASEI,116
CURSO DE PEDAGOGIA / ASEI,4
CURSO DE PEDAGOGIA / ASEI,47
CURSO DE PEDAGOGIA / ASEI,21
CURSO DE PEDAGOGIA / ASEI,56
CURSO DE PEDAGOGIA / ASEI,31
CURSO DE PEDAGOGIA / ASEI,120
CURSO DE PEDAGOGIA / ASEI,11
CURSO DE PEDAGOGIA / ASEI,24
CURSO DE PEDAGOGIA / ASEI,30
CURSO DE PEDAGOGIA / ASEI,13
CURSO DE PEDAGOGIA / ASEI,52
CURSO DE PEDAGOGIA / ASEI,4
CURSO DE PEDAGOGIA / ASEI,4
CURSO DE PEDAGOGIA / ASEI,45
CURSO DE PEDAGOGIA / ASEI,5
CURSO DE PEDAGOGIA / ASEI,50
CURSO DE PEDAGOGIA / ASEI,59
CURSO DE PEDAGOGIA / ASEI,1
CURSO DE PEDAGOGIA / ASEI,72
CURSO DE PEDAGOGIA / ASEI,5
CURSO DE PEDAGOGIA / ASEI,141
CURSO DE PEDAGOGIA / ASEI,33
CURSO DE PEDAGOGIA / ASEI,3
CURSO DE PEDAGOGIA / ASEI,1
CURSO DE PEDAGOGIA / ASEI,5
CURSO DE PEDAGOGIA / ASEI,56
CURSO DE PEDAGOGIA / ASEI,12
CURSO DE PEDAGOGIA - PARFOR / ASEI,64
CURSO DE CIÊNCIA E TECNOLOGIA / CAMPUS BALSAS,225
CURSO DE CIÊNCIAS HUMANAS / CAMPUS III,8
CURSO DE CIÊNCIAS HUMANAS - SOCIOLOGIA / CAMPUS III,224
CURSO DE CIÊNCIAS NATURAIS / CAMPUS III,18
CURSO DE CIÊNCIAS NATURAIS - BIOLOGIA / CAMPUS III,74
CURSO DE CIÊNCIAS NATURAIS - FÍSICA / CAMPUS III,130
CURSO DE EDUCAÇÃO DO CAMPO / CAMPUS III,244
CURSO DE LETRAS - PORTUGUÊS / CAMPUS III,73
CURSO DE CIÊNCIAS HUMANAS - FILOSOFIA / CAMPUS V,67
CURSO DE CIÊNCIAS HUMANAS - HISTÓRIA / CAMPUS V,171
CURSO DE CIÊNCIAS NATURAIS / CAMPUS V,4
CURSO DE CIÊNCIAS NATURAIS - BIOLOGIA / CAMPUS V,200
CURSO DE EDUCAÇÃO FÍSICA / CAMPUS V,128
CURSO DE ENFERMAGEM / CAMPUS V,122
CURSO DE ENGENHARIA DA PESCA / CAMPUS V,80
CURSO DE MEDICINA / CAMPUS V,186
CURSO DE CIÊNCIAS HUMANAS - GEOGRAFIA / CAMPUS VI,178
CURSO DE CIÊNCIAS NATURAIS - QUÍMICA / CAMPUS VI,160
CURSO DE CIÊNCIAS HUMANAS - HISTÓRIA / CAMPUS VII,250
CURSO DE CIÊNCIAS NATURAIS / CAMPUS VII,15
CURSO DE CIÊNCIAS NATURAIS - BIOLOGIA / CAMPUS VII,227
CURSO DE PEDAGOGIA / CAMPUS VII,102
CURSO DE CIÊNCIAS HUMANAS / CSB,3
CURSO DE CIÊNCIAS HUMANAS - SOCIOLOGIA / CSB,230
CURSO DE CIÊNCIAS NATURAIS / CSB,3
CURSO DE LINGUAGENS E CÓDIGOS / CSB,9
CURSO DE LINGUAGENS E CÓDIGOS - LÍNGUA PORTUGUESA / CSB,170
CURSO DE LINGUAGENS E CÓDIGOS - MÚSICA / CSB,37
CURSO DE TURISMO / CSB,57
CURSO DE AGRONOMIA / DCCAA,305
CURSO DE CIÊNCIAS BIOLÓGICAS / DCCAA,324
CURSO DE ENGENHARIA AGRÍCOLA / DCCAA,72
CURSO DE ZOOTECNIA / DCCAA,247
CURSO DE CIENCIAS BIOLOGICAS / DCCBS/CCBS,363
CURSO DE EDUCACAO FISICA / DCCBS/CCBS,367
CURSO DE EDUCAÇÃO FÍSICA - / DCCBS/CCBS,171
CURSO DE ENFERMAGEM / DCCBS/CCBS,428
CURSO DE FARMÁCIA / DCCBS/CCBS,357
CURSO DE MEDICINA / DCCBS/CCBS,559
CURSO DE NUTRIÇÃO / DCCBS/CCBS,213
CURSO DE OCEANOGRAFIA / DCCBS/CCBS,218
CURSO DE ODONTOLOGIA / DCCBS/CCBS,300
CURSO DE CIÊNCIA DA COMPUTAÇÃO / DCCET/CCET,398
CURSO DE CIÊNCIA E TECNOLOGIA / DCCET/CCET,1181
CURSO DE DESENHO INDUSTRIAL / DCCET/CCET,18
CURSO DE DESIGN / DCCET/CCET,269
CURSO DE ENGENHARIA CIVIL / DCCET/CCET,16
CURSO DE ENGENHARIA DA COMPUTAÇÃO / DCCET/CCET,3
CURSO DE ENGENHARIA ELÉTRICA / DCCET/CCET,403
CURSO DE ENGENHARIA MECÂNICA / DCCET/CCET,1
CURSO DE ENGENHARIA QUÍMICA / DCCET/CCET,303
CURSO DE FÍSICA / DCCET/CCET,205
CURSO DE MATEMATICA / DCCET/CCET,237
CURSO DE QUIMICA / DCCET/CCET,267
CURSO DE QUIMICA INDUSTRIAL / DCCET/CCET,193
CURSO DE ARTES VISUAIS / DCCH,205
