DEPARTAMENTO DE MEDICINA I/CCBS,52
DEPARTAMENTO DE DIREITO/CCSO,49
COORDENAÇÃO DO CURSO DE MEDICINA PINHEIRO/CCHNST,43
DEPARTAMENTO DE ARTES/CCH,43
COORDENAÇÃO DO CURSO DE ENFERMAGEM/CCSST,42
COORDENAÇÃO DO CURSO DE CIÊNCIA E TECNOLOGIA/CCET,40
DEPARTAMENTO DE COMUNICAÇÃO SOCIAL/CCSO,39
DEPARTAMENTO DE CIENCIAS CONTÁBEIS E ADMINISTRAÇÃO/CCSO,38
DEPARTAMENTO DE LETRAS/CCH,38
DEPARTAMENTO  DE CIÊNCIAS FISIOLÓGICAS/CCBS,37
DEPARTAMENTO DE SOCIOLOGIA E ANTROPOLOGIA/CCH,37
COORDENAÇÃO DO CURSO DE MEDICINA IMPERATRIZ/CCSST,36
DEPARTAMENTO DE EDUCAÇÃO II/CCSO,34
DEPARTAMENTO DE ENFERMAGEM/CCBS,33
DEPARTAMENTO DE EDUCAÇÃO I/CCSO,31
DEPARTAMENTO DE MATEMÁTICA/CCET,31
DEPARTAMENTO DE FILOSOFIA/CCH,30
DEPARTAMENTO DE PSICOLOGIA/CCH,29
DEPARTAMENTO  DE ENGENHARIA DA ELETRICIDADE/CCET,29
DEPARTAMENTO DE ECONOMIA/CCSO,29
DEPARTAMENTO DE ODONTOLOGIA II/CCBS,28
DEPARTAMENTO DE ODONTOLOGIA I/CCBS,27
DEPARTAMENTO DE SAÚDE PÚBLICA/CCBS,26
COORDENAÇÃO DO CURSO ENGENHARIA DE ALIMENTOS/CCSST,25
DEPARTAMENTO DE EDUCAÇÃO FÍSICA/CCBS,25
DEPARTAMENTO DE QUÍMICA/CCET,24
DEPARTAMENTO DE SERVIÇO SOCIAL/CCSO,24
DEPARTAMENTO DE MEDICINA III/CCBS,23
DEPARTAMENTO DE MEDICINA II/CCBS,23
DEPARTAMENTO DE BIOLOGIA/CCBS,23
COORDENAÇÃO DO CURSO DE JORNALISMO/CCSST,23
DEPARTAMENTO  DE BIBLIOTECONOMIA/CCSO,22
DEPARTAMENTO DE GEOCIENCIAS/CCH,22
COORDENAÇÃO DO CURSO DE PEDAGOGIA/CCSST,22
DEPARTAMENTO DE MORFOLOGIA/CCBS,21
DEPARTAMENTO DE FARMÁCIA/CCBS,21
DEPARTAMENTO DE PATOLOGIA/CCBS,21
DEPARTAMENTO DE FÍSICA/CCET,20
COORDENACAO DO CURSO DE ZOOTECNIA/CCAA,20
DEPARTAMENTO DE OCEANOGRAFIA E LIMNOLOGIA/CCBS,20
COORDENACAO DO CURSO DE DIREITO/CCSST,19
DEPARTAMENTO DE HISTÓRIA/CCH,18
COORDENAÇÃO DO CURSO DE LICENCIATURAS EM CIENCIAS HUMANAS PINHEIRO/CCHNST,18
COORDENAÇÃO DO CURSO DE BIOLOGIA/CCAA,18
DEPARTAMENTO DE TURISMO E HOTELARIA/CCSO,17
DEPARTAMENTO DE DESENHO E TECNOLOGIA/CCET,17
COORDENAÇÃO DO CURSO DE LICENCIATURAS EM CIENCIAS NATURAIS PINHEIRO/CCHNST,16
DEPARTAMENTO DE TECNOLOGIA QUÍMICA/CCET,16
DEPARTAMENTO DE INFORMÁTICA/CCET,16
COORDENAÇÃO DO CURSO DE AGRONOMIA/CCAA,15
COORDENAÇÃO DO CURSO DE LICENCIATURAS EM CIENCIAS HUMANAS BACABAL/CAMPUS III,15
COORDENAÇÃO DO CURSO DE LICENCIATURAS EM LINGUAGENS E CÓDIGOS SÃO BERNARDO/CSB,14
COORDENACAO DO CURSO DE LICENCIATURAS EM CIENCIAS HUMANAS IMPERATRIZ/CCSST,14
COORDENACAO DO CURSO DE ENGENHARIA DA COMPUTACAO/DCCET,13
COORDENAÇÃO DO CURSO DE ENGENHARIA QUÍMICA/CCET,13
COORDENAÇÃO DO CURSO DE LICENCIATURAS EM CIENCIAS HUMANAS CODO/CAMPUS VII,13
COORDENACAO DO CURSO DE LICENCIATURAS EM CIENCIAS NATURAIS BACABAL/CAMPUS III,13
COORDENAÇÃO DO CURSO DE LICENCIATURAS EM CIENCIAS NATURAIS CODÓ/CAMPUS VII,13
COORDENACAO DO CURSO DE LICENCIATURAS EM CIENCIAS NATURAIS IMPERATRIZ/CCSST,12
COORDENAÇÃO DO CURSO CIÊNCIAS CONTÁBEIS/CCSST,12
COORDENAÇÃO DO CURSO DE ENGENHARIA AGRÍCOLA CHAPADINHA/CCAA,11
COORDENAÇÃO LICENCIATURA EM EDUCAÇÃO DO CAMPO - BACABAL/CAMPUS III,11
COORDENAÇÃO DO CURSO DE LICENCIATURAS EM CIENCIAS NATURAIS GRAJAÚ/CAMPUS VI,10
COORDENAÇÃO DO CURSO DE LICENCIATURAS EM CIENCIAS HUMANAS SÃO BERNARDO/CSB,10
COORDENAÇÃO DO CURSO DE ENFERMAGEM PINHEIRO/CCHNST,10
COORDENAÇÃO DO CURSO DE EDUCAÇÃO FÍSICA PINHEIRO/CCHNST,10
COORDENAÇÃO DO CURSO DE CIÊNCIA E TECNOLOGIA - BALSAS - CAMPUS BALSAS,9
COORDENAÇÃO DO CURSO DE LICENCIATURAS EM CIENCIAS HUMANAS GRAJAU/CAMPUS VI,9
COORDENACAO DO CURSO DE ENGENHARIA CIVIL/DCCET,8
COORDENAÇÃO DO CURSO DE LETRAS BACABAL/CAMPUS III,8
GABINETE/REITORIA,7
COORDENACAO DO CURSO DE ESTUDOS AFRICANOS E AFRO-BRASILEIROS/DCCH,7
COORDENACAO DO CURSO DE ENGENHARIA MECANICA/DCCET,7
COORDENAÇÃO DO CURSO DE ENGENHARIA DE PESCA PINHEIRO/CCHNST,7
COORDENAÇÃO DO CURSO DE LICENCIATURAS EM CIENCIAS NATURAIS SÃO BERNARDO/CSB,6
COORDENAÇÃO DO CURSO DE PEDAGOGIA CODÓ/CAMPUS VII,5
COORDENAÇÃO DO CURSO DE TURISMO SÃO BERNARDO/CSB,5
DEPARTAMENTO DE PESSOAL/PRH,3
VICE-REITORIA,2
GABINETE/PROEN,2
COORDENAÇÃO DO CURSO DE MEDICINA/CCBS,2
